,0
262,1.3656349182128906
263,1.3243346214294434
264,1.404069185256958
265,1.3856348991394043
266,1.4371082782745361
267,1.3504571914672852
268,1.3912739753723145
269,1.4474101066589355
270,1.4095981121063232
271,1.4171133041381836
272,1.4677233695983887
273,1.4405364990234375
274,1.2905066013336182
275,1.3858301639556885
276,1.39975905418396
277,1.4625420570373535
278,1.325951099395752
279,1.4037044048309326
280,1.4724390506744385
281,1.412956953048706
282,1.3775954246520996
283,1.4002747535705566
284,1.447498083114624
285,1.3414843082427979
286,1.4171984195709229
287,1.4045941829681396
288,1.4317102432250977
289,1.3723869323730469
290,1.4289007186889648
291,1.4259731769561768
292,1.2912404537200928
293,1.3974273204803467
294,1.4375824928283691
295,1.4179644584655762
296,1.2808921337127686
297,1.5274507999420166
298,1.3811273574829102
299,1.3330743312835693
